Name                                  Max Probability    beta (X)  gamma (ZZ)
----------------------------------  -----------------  ----------  ------------
3v3                                       1			       0.7849  0.785803
3v2 1                                     1                0.3077  0.30774
4v4                                       0.539854         0.4266  1.1442
4v3 1                                     0.5              0       -0.0821
4v2 2                                     0.5              0.3927  0.7854
4v1 1 1 1                                 0.539854         0.4266  0.4266
5v5                                       0.410504         0.4423  1.1285
5v4 1                                     0.398549         0.7395  0.4491
5v3 2                                     0.515016         0.3675  1.0513
5v2 1 1 1                                 0.878906         0.3927  0.3927
6v6                                       0.301718         0.4504  1.1204
6v5 1                                     0.262156         0.8683  0.2687
6v4 2                                     0.426097         0.3273  1.1026
6v3 1 1 1                                 0.262156         0.7025  0.2687
6v3 3                                     0.375            0.7854  0.7854
6v2 1 2 1                                 0.375            0.7854  0.7854
6v2 1 1 2                                 0.426097         0.3273  0.4682
6v1 1 1 1 1 1                             0.301718         0.4504  0.4504
7v7                                       0.217057         0.443   1.1278
7v6 1                                     0.19861          0.881   0.3202
7v5 2                                     0.375115         0.3667  1.0711
7v4 1 1 1                                 0.241076         0.7407  0.4383
7v4 3                                     0.292161         1.18    0.3538
7v3 1 2 1                                 0.119413         0.26    0.102
7v3 1 1 2                                 0.241334         0.1457  0.2
7v2 1 2 2                                 0.226905         0.3704  0.5779
7v2 1 1 1 1 1                             0.648108         0.4107  0.4107
8v8                                       0.158833         0.4449  1.1259
8v7 1                                     0.146843         0.9081  0.3157
8v6 2                                     0.301619         0.3683  1.0975
8v5 1 1 1                                 0.140625         0.7854  0.3927
8v5 3                                     0.254211         1.1322  0.4091
8v4 1 2 1                                 0.0938648        0.7267  0.4889
8v4 1 1 2                                 0.177734         0.5236  0.7854
8v4 4                                     0.114386         0.3521  1.2154
8v3 1 3 1                                 0.03125          0       -0.0821
8v3 1 2 2                                 0.125            0       -0.0821
8v3 1 1 1 1 1                             0.146843         0.6627  0.3157
8v3 1 1 3                                 0.0938648        0.8441  0.4889
8v3 2 1 2                                 0.078125         0.3927  0.7854
8v2 1 2 1 1 1                             0.254211         0.4386  0.4091
8v2 1 1 1 1 2                             0.301619         0.3683  0.4733
8v2 1 1 2 1 1                             0.114386         0.3521  0.3554
8v2 2 2 2                                 0.0674818        0.4266  0.7854
8v1 1 1 1 1 1 1 1                         0.158833         0.4449  0.4449
9v9                                       0.11571          0.4451  1.1256
9v8 1                                     0.109303         0.9372  0.3129
9v7 2                                     0.244789         0.3745  1.1033
9v6 1 1 1                                 0.0957802        0.8489  0.3922
9v6 3                                     0.205669         1.123   0.4127
9v5 1 2 1                                 0.140625         0.7854  0.7854
9v5 1 1 2                                 0.111007         0.424   0.7884
9v5 4                                     0.189383         0.3741  1.1933
9v4 1 3 1                                 0.0387176        0.8282  0.1967
9v4 1 2 2                                 0.0807442        0.1397  1.0208
9v4 1 1 1 1 1                             0.167212         0.679   0.5597
9v4 1 1 3                                 0.128575         0.8762  0.4332
9v4 2 1 2                                 0.140625         0.7854  0.7854
9v3 1 3 2                                 0.140625         0.7854  0.7854
9v3 1 2 1 1 1                             0.117356         0.5396  0.2114
9v3 1 2 3                                 0.0779791        1.395   0.1634
9v3 1 1 1 1 2                             0.120637         0.2239  0.2757
9v3 1 1 2 1 1                             0.140625         0.7854  0.7854
9v3 2 2 2                                 0.0994164        0.383   0.9446
9v2 1 2 1 2 1                             0.0386148        0.5361  0.4909
9v2 1 2 1 1 2                             0.211511         0.3387  0.4073
9v2 1 1 1 2 2                             0.167179         0.4352  0.6097
9v2 1 1 1 1 1 1 1                         0.438882         0.418   0.418
10v10                                     0.0842394        0.4447  1.1261
10v9 1                                    0.0818343        0.9525  0.3203
10v8 2                                    0.197174         0.3824  1.1047
10v7 1 1 1                                0.0726739        0.8704  0.4213
10v7 3                                    0.164992         1.1324  0.4106
